question,option-1,option-2,option-3,option-4,answer
"At the Railway Board level, the Personnel department is headed by …..","Secretary, Railway Board 1089001",,,,
The Doctrine of Pleasure is contained in Article…. Of the Constitution of India.,310(1) 1090001,,,,
Who is the chairperson of PNM at the zonal level?,PCPO 1091001,,,,
The amount of subscription payable towards Provident Fund for any particular year is capped at Rs….Lakh.,10 1092001,,,,
Which conduct rule requires every railway servant to maintain absolute integrity at all times?,Rule 3(1)(i) 1093001,,,,
Which conduct rule prohibits Railway servant to give or take or abet the giving or taking of dowry?,Rule 13a (i) 1094001,,,,
"Where the distance between the old headquarters and the new headquarters is more than 1000 km, joining time admissible is ….days.",12 1095001,,,,
Traffic Costing Office provides the data for….,Seeking budetary support 1096001,,,,
Under which article of the Constitution is the Consolidated Fund of India estabished?,264 1097001,,,,
"The financial powers of the government, which have not been delegated to a subordinate authority, vest in…..",Finance Ministry 1098001,,,,
Which departments are responsible for contracts with siding owners?,Operating and Commercial 1099001,,,,
"In the context of contracts, what is EPC ?",Enginnering Procurement Construction 1100001,,,,
Who represents the CAG of India in a Railway Zone?,PFA 1101001,,,,
"In railway finance, EBR means…",Extended Budgetary Resource 1102001,,,,
"The report of the Comptroller and Auditor General of India presented to the parliament, is taken up for consideration by….",Standing Committee on Railways 1103001,,,,
Who is the budget officer of a Zone?,PCCM 1104001,,,,
All charges for maintenance and repairs after opening of the line for Traffic are allocated to…,Revenue 1105001,,,,
What is the full-form of IRFC?,International Railway Funding Corporation 1106001,,,,
Who is the Plan Head Coordinator for PH 42 works?,PCEE 1107001,,,,
BOLT stands for….,Borrow Open Lease Transfer 1108001,,,,
Which is the Plan Head for Traffic Facility Works?,PH 64 1109001,,,,
GFR stands for….,Green Fuel Rules 1110001,,,,
